run_name,model,samples,metric,label,value
large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b,200,original_yes_rate,Original YES Rate,0.96
large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b,200,crop_yes_rate,Crop YES Rate,0.945
large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b,200,masked_yes_rate,Masked YES Rate,0.495
large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b,200,ghost_object_rate,Ghost Object Rate,0.515625
large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b,200,context_persistence_index,Context Persistence Index,0.515625
large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b,200,guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.445
large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b,200,guard_abstention_rate,GHOST-Guard Abstention Rate,0.515
large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b,200,prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0
large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b,200,original_yes_rate,Original YES Rate,0.885
large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b,200,crop_yes_rate,Crop YES Rate,0.8
large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b,200,masked_yes_rate,Masked YES Rate,0.43
large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b,200,ghost_object_rate,Ghost Object Rate,0.4745762711864407
large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b,200,context_persistence_index,Context Persistence Index,0.4858757062146892
large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b,200,guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.3
large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b,200,guard_abstention_rate,GHOST-Guard Abstention Rate,0.585
large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b,200,prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0
large200_bboxsolid_llava_7b,llava:7b,200,original_yes_rate,Original YES Rate,0.43
large200_bboxsolid_llava_7b,llava:7b,200,crop_yes_rate,Crop YES Rate,0.605
large200_bboxsolid_llava_7b,llava:7b,200,masked_yes_rate,Masked YES Rate,0.145
large200_bboxsolid_llava_7b,llava:7b,200,ghost_object_rate,Ghost Object Rate,0.3372093023255814
large200_bboxsolid_llava_7b,llava:7b,200,context_persistence_index,Context Persistence Index,0.3372093023255814
large200_bboxsolid_llava_7b,llava:7b,200,guard_acceptance_rate,GHOST-Guard Acceptance Rate,0.245
large200_bboxsolid_llava_7b,llava:7b,200,guard_abstention_rate,GHOST-Guard Abstention Rate,0.185
large200_bboxsolid_llava_7b,llava:7b,200,prevented_ghost_claim_rate,Prevented Ghost Claim Rate,1.0
